name,price,link,date_scraped
Box of Chocolate Candy,24.99,https://web-scraping.dev/product/1,2026-08-27
Dark Red Energy Potion,4.99,https://web-scraping.dev/product/2,2026-08-27
Teal Energy Potion,4.99,https://web-scraping.dev/product/3,2026-08-27
Red Energy Potion,4.99,https://web-scraping.dev/product/4,2026-08-27
Blue Energy Potion,4.99,https://web-scraping.dev/product/5,2026-08-27
Dragon Energy Potion,4.99,https://web-scraping.dev/product/6,2026-08-27
Hiking Boots for Outdoor Adventures,89.99,https://web-scraping.dev/product/7,2026-08-27
Women's High Heel Sandals,59.99,https://web-scraping.dev/product/8,2026-08-27
Running Shoes for Men,49.99,https://web-scraping.dev/product/9,2026-08-27
Kids' Light-Up Sneakers,29.99,https://web-scraping.dev/product/10,2026-08-27
Classic Leather Sneakers,79.99,https://web-scraping.dev/product/11,2026-08-27
Cat-Ear Beanie,14.99,https://web-scraping.dev/product/12,2026-08-27
Box of Chocolate Candy,24.99,https://web-scraping.dev/product/13,2026-08-27
Dark Red Energy Potion,4.99,https://web-scraping.dev/product/14,2026-08-27
Teal Energy Potion,4.99,https://web-scraping.dev/product/15,2026-08-27
Red Energy Potion,4.99,https://web-scraping.dev/product/16,2026-08-27
Blue Energy Potion,4.99,https://web-scraping.dev/product/17,2026-08-27
Dragon Energy Potion,4.99,https://web-scraping.dev/product/18,2026-08-27
Hiking Boots for Outdoor Adventures,89.99,https://web-scraping.dev/product/19,2026-08-27
Women's High Heel Sandals,59.99,https://web-scraping.dev/product/20,2026-08-27
Running Shoes for Men,49.99,https://web-scraping.dev/product/21,2026-08-27
Kids' Light-Up Sneakers,29.99,https://web-scraping.dev/product/22,2026-08-27
Classic Leather Sneakers,79.99,https://web-scraping.dev/product/23,2026-08-27
Cat-Ear Beanie,14.99,https://web-scraping.dev/product/24,2026-08-27
Box of Chocolate Candy,24.99,https://web-scraping.dev/product/25,2026-08-27
